"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
Nigeria,261473,,3147,,254953,,3373,11,1206,15,5441162,25093,216841571,2022-08-06
Zimbabwe,256447,3,5584,3,250531,105,332,12,16744,365,2455588,160327,15316118,2022-08-06
Uzbekistan,243294,28,1637,,240641,88,1016,23,7055,47,1377915,39957,34485211,2022-08-06
Mozambique,229739,43,2216,,227233,7,290,11,6943,67,1371127,41437,33089679,2022-08-06
Martinique,215140,,1017,,104,,214019,8,574233,2714,828928,2212504,374656,2022-08-06
Laos,211771,68,757,,,,,,28249,101,1233207,164500,7496698,2022-08-06
Brunei,211157,,225,,205773,,5159,,473178,504,717784,1608469,446253,2022-08-06
Iceland,202831,,179,,,,,2,586418,518,1986628,5743675,345881,2022-08-06
Kyrgyzstan,201329,,2991,,196406,,1932,131,29828,443,1907195,282562,6749659,2022-08-06
El Salvador,190818,,4210,2,172310,,14298,8,29111,642,2456913,374830,6554743,2022-08-06
Afghanistan,187109,15,7752,,167281,55,12076,1124,4590,190,1036803,25434,40764740,2022-08-06
Guadeloupe,186380,,971,,2250,,183159,19,465639,2426,938039,2343533,400267,2022-08-06
Maldives,184485,,307,,163687,,20491,25,329152,548,2213831,3949842,560486,2022-08-06
Trinidad and Tobago,172889,313,4067,2,162237,191,6585,18,122705,2886,797735,566180,1408978,2022-08-06
Uganda,169396,,3628,,100431,,65337,3,3474,74,3012408,61772,48766924,2022-08-06
Namibia,169253,,4065,,164813,,375,,64177,1541,1062663,402937,2637291,2022-08-06
Ghana,168306,,1458,,166684,,164,2,5190,45,2490032,76778,32431556,2022-08-06
Jamaica,147006,163,3206,5,94335,78,49465,,49195,1073,1151614,385383,2988233,2022-08-06
Cambodia,136977,18,3056,,133650,10,271,,7962,178,3024774,175822,17203616,2022-08-06
Rwanda,132287,7,1466,,45522,,85299,,9709,108,5684455,417215,13624747,2022-08-06
Cameroon,120215,,1931,,117791,,493,13,4304,69,1751774,62720,27929983,2022-08-06
Malta,113220,50,795,,111004,104,1421,4,254997,1791,2024647,4559964,444005,2022-08-06
Angola,102636,,1917,,97149,,3570,,2932,55,1499795,42842,35007827,2022-08-06
Barbados,94601,508,499,1,90830,344,3272,,328348,1732,734354,2548849,288112,2022-08-06
French Guiana,92989,,407,,11254,,81328,3,295299,1292,650106,2064497,314898,2022-08-06
DRC,92173,,1390,,50930,,39853,,968,15,846704,8888,95264942,2022-08-06
Channel Islands,88529,,195,,87553,,781,,499546,1100,1252808,7069265,177219,2022-08-06
Malawi,87617,47,2670,,83992,,955,67,4345,132,604621,29983,20165392,2022-08-06
Senegal,87550,,1968,,85388,,194,,4955,111,1141569,64612,17668174,2022-08-06
Ivory Coast,85712,36,811,,84723,78,178,,3089,29,1586946,57194,27746504,2022-08-06
Suriname,80982,,1380,,49599,,30003,,135503,2309,238565,399178,597641,2022-08-06
French Polynesia,75819,,649,,,,,7,266678,2283,,,284309,2022-08-06
Eswatini,73301,4,1419,2,71850,,32,11,61840,1197,1041506,878668,1185324,2022-08-06
New Caledonia,70937,,314,,68254,,2369,9,243563,1078,98964,339794,291247,2022-08-06
Guyana,70126,43,1271,,68359,92,496,,88264,1600,679213,854894,794500,2022-08-06
Fiji,67805,,874,,65732,,1199,,74507,960,613582,674229,910050,2022-08-06
Belize,67424,,680,,66421,,323,6,163354,1647,576016,1395563,412748,2022-08-06
Madagascar,66491,,1408,,64782,,301,6,2278,48,497804,17059,29182157,2022-08-06
Sudan,63074,,4958,,,,,,1371,108,562941,12240,45993779,2022-08-06
Mauritania,62652,7,992,,61321,32,339,,12771,202,921322,187808,4905661,2022-08-06
Cabo Verde,62206,6,410,,61697,13,99,23,109395,721,401622,706291,568635,2022-08-06
Bhutan,60530,,21,,60434,,75,,76678,27,2303734,2918321,789404,2022-08-06
Syria,56464,,3150,,52869,,445,,3070,171,146269,7953,18391161,2022-08-06
Gabon,48511,,306,,47693,,512,,20769,131,1609218,688954,2335741,2022-08-06
Burundi,47008,,38,,,,,,3721,3,345742,27369,12632602,2022-08-06
Andorra,45793,,154,,45401,,238,14,590694,1986,249838,3222718,77524,2022-08-06
Seychelles,45540,,168,,45230,,142,,457128,1686,,,99622,2022-08-06
Curaçao,45127,,282,,44720,,125,3,272674,1704,496693,3001202,165498,2022-08-06
Papua New Guinea,44800,,663,,43982,,155,7,4816,71,249149,26784,9302026,2022-08-06
Aruba,42217,,226,,41663,,328,2,391932,2098,177885,1651441,107715,2022-08-06
Mauritius,39751,,1015,,37816,,920,,31148,795,358675,281052,1276187,2022-08-06
Mayotte,39344,,187,,,,,,137277,652,176919,617296,286603,2022-08-06
Togo,38176,18,281,1,37680,3,215,,4396,32,772583,88955,8685148,2022-08-06
Tanzania,37865,,841,,,,,7,598,13,,,63298176,2022-08-06
Isle of Man,37794,,114,,26794,,10886,,439593,1326,150753,1753452,85975,2022-08-06
Guinea,37408,,445,,36419,,544,8,2695,32,660107,47562,13878961,2022-08-06
Bahamas,36812,17,822,,35464,23,526,,91774,2049,241422,601879,401114,2022-08-06
Faeroe Islands,34658,,28,,,,,5,703687,569,778000,15796313,49252,2022-08-06
Lesotho,34040,,702,,24155,,9183,,15630,322,431221,198006,2177816,2022-08-06
Haiti,32464,,838,,30070,,1556,,2776,72,132422,11324,11693677,2022-08-06
Mali,31236,2,739,,30408,2,89,,1455,34,723163,33678,21472628,2022-08-06
Cayman Islands,29419,,29,,8553,,20837,1,436879,431,222773,3308231,67339,2022-08-06
Saint Lucia,28161,,387,,27456,,318,,151905,2088,209716,1131246,185385,2022-08-06
Benin,27316,,163,,25506,,1647,5,2136,13,604310,47255,12788336,2022-08-06
Somalia,27020,,1350,,13182,,12488,,1606,80,400466,23806,16822016,2022-08-06
Congo,24775,,386,,20178,,4211,,4270,67,347815,59941,5802586,2022-08-06
Timor-Leste,23036,,134,,22855,,47,,16802,98,273298,199336,1371045,2022-08-06
Solomon Islands,21544,,153,,16357,,5034,1,29832,212,5117,7086,722167,2022-08-06
Burkina Faso,21128,,387,,20439,,302,,956,18,248995,11265,22103907,2022-08-06
San Marino,20007,,118,,19647,,242,4,587060,3462,157634,4625411,34080,2022-08-06
Gibraltar,19999,,106,,16579,,3314,,593971,3148,534283,15868221,33670,2022-08-06
Grenada,18822,,234,,18514,,74,4,165665,2060,174451,1535457,113615,2022-08-06
Liechtenstein,18805,,86,,18536,,183,1,490263,2242,102174,2663764,38357,2022-08-06
Nicaragua,18491,,225,,4225,,14041,,2723,33,,,6789637,2022-08-06
Tajikistan,17786,,125,,17264,,397,,1781,13,,,9986365,2022-08-06
South Sudan,17780,,138,,15630,,2012,1,1550,12,410280,35774,11468605,2022-08-06
Bermuda,17356,,148,,17012,,196,,280860,2395,971291,15717700,61796,2022-08-06
Equatorial Guinea,16776,5,183,,16518,21,75,5,11187,122,360371,240321,1499538,2022-08-06
Djibouti,15690,,189,,15427,,74,,15411,186,305941,300504,1018094,2022-08-06
Samoa,15405,,29,,1605,,13771,4,76575,144,177396,881799,201175,2022-08-06
Dominica,14852,,68,,14554,,230,,205252,940,210195,2904851,72360,2022-08-06
CAR,14781,,113,,6859,,7809,2,2953,23,81294,16240,5005660,2022-08-06
Monaco,14130,,57,,13940,,133,4,354802,1431,77770,1952793,39825,2022-08-06
Tonga,12808,254,12,,12423,,373,,118369,111,535009,4944448,108204,2022-08-06
Gambia,12149,,368,,11591,,190,,4748,144,155686,60841,2558882,2022-08-06
Greenland,11971,,21,,2761,,9189,4,210106,369,164926,2894657,56976,2022-08-06
Yemen,11895,,2152,,9117,,626,23,381,69,265253,8501,31201925,2022-08-06
Vanuatu,11723,,14,,11672,,37,,36387,43,24976,77522,322179,2022-08-06
Saint Martin,11667,,63,,1399,,10205,7,291333,1573,112382,2806253,40047,2022-08-06
Caribbean Netherlands,10888,,35,,10476,,377,,407272,1309,30126,1126880,26734,2022-08-06
Sint Maarten,10765,,87,,10658,,20,10,245239,1982,62056,1413705,43896,2022-08-06
Eritrea,10116,7,103,,9900,5,113,,2772,28,23693,6493,3649230,2022-08-06
Niger,9119,,311,,8628,,180,1,350,12,254538,9774,26042214,2022-08-06
Antigua and Barbuda,8773,,144,,8597,,32,1,88058,1445,18901,189718,99627,2022-08-06
Guinea-Bissau,8440,,174,,8151,,115,6,4086,84,145231,70315,2065431,2022-08-06
Comoros,8340,,160,,7933,,247,,9181,176,,,908402,2022-08-06
Sierra Leone,7737,,125,,,,,,930,15,259958,31257,8316773,2022-08-06
Liberia,7548,,294,,5747,,1507,2,1422,55,139824,26349,5306681,2022-08-06
Chad,7437,,193,,4874,,2370,,427,11,191341,10988,17413167,2022-08-06
British Virgin Islands,7131,,63,,,,,1,232644,2055,105790,3451325,30652,2022-08-06
St. Vincent Grenadines,7102,1,115,,6641,,346,,63594,1030,100728,901950,111678,2022-08-06
Micronesia,6691,184,16,4,75,16,6600,8,56921,136,21923,186503,117548,2022-08-06
Saint Kitts and Nevis,6477,7,46,,6405,9,26,,119973,852,108021,2000871,53987,2022-08-06
Turks and Caicos,6328,,36,,6263,,29,4,158939,904,549243,13795223,39814,2022-08-06
Cook Islands,6129,,1,,6079,,49,,348278,57,19690,1118877,17598,2022-08-06
Sao Tome and Principe,6115,,75,,6023,,17,,26857,329,29036,127528,227684,2022-08-06
Palau,5308,,6,,5224,,78,1,290451,328,63324,3465062,18275,2022-08-06
St. Barth,5138,,6,,,,,,516901,604,78646,7912072,9940,2022-08-06
Nauru,4603,,1,,4600,,2,,419714,91,17889,1631166,10967,2022-08-06
Anguilla,3620,,10,,3595,,15,4,236864,654,51382,3362036,15283,2022-08-06
Kiribati,3430,,13,,2703,,714,3,27821,105,,,123288,2022-08-06
Saint Pierre Miquelon,3112,,1,,2449,,662,1,542633,174,24848,4332694,5735,2022-08-06
Falkland Islands,1835,,,,,,,,497021,,8632,2338028,3692,2022-08-06
Montserrat,1077,9,8,,1043,11,26,,215486,1601,15412,3083633,4998,2022-08-06
Macao,791,,6,,777,,8,,1184,9,7850,11754,667875,2022-08-06
Wallis and Futuna,761,,7,,438,,316,,70287,647,20508,1894154,10827,2022-08-06
Marshall Islands,68,,,,58,,10,,1133,,,,60026,2022-08-06
Niue,56,,,,35,5,21,,33960,,,,1649,2022-08-06
China,230886,390,5226,,223651,153,2009,1,160,4,160000000,111163,1439323776,2022-08-07
USA,93980802,42840,1059076,69,89041458,108332,3880268,4544,,,1087759820,,,2022-08-07
India,44161899,16167,526730,41,43499659,15549,135510,698,31355,374,877924743,623323,1408458499,2022-08-07
France,34074568,21528,152602,20,32881774,17733,1040192,869,519617,2327,271490188,4140063,65576343,2022-08-07
Brazil,34018371,7198,680051,39,32731706,40103,606614,8318,157691,3152,63776166,295632,215727995,2022-08-07
Germany,31228314,,144858,,29502700,19500,1580756,1406,370242,1717,122332384,1450370,84345665,2022-08-07
UK,23368899,,185052,,22853907,25038,329940,146,340487,2696,522526476,7613254,68633788,2022-08-07
Italy,21313427,26656,173136,74,20045335,37084,1094956,342,353600,2872,238756084,3961083,60275457,2022-08-07
S. Korea,20489128,105507,25263,27,18912735,76333,1551130,297,398919,492,15804065,307701,51361689,2022-08-07
Russia,18712699,20303,382741,44,18039355,8729,290603,2300,128112,2620,273400000,1871761,146065650,2022-08-07
Turkey,16295817,,99678,,15875121,,321018,975,188954,1156,162743369,1887046,86242376,2022-08-07
Japan,14049978,214879,33509,161,11986205,196437,2030264,551,111805,267,64674249,514656,125664912,2022-08-07
Spain,13266184,,111094,,12760955,,394135,339,283509,2374,471036328,10066440,46792744,2022-08-07
Vietnam,11347518,1381,43094,,9973122,8589,1331302,43,114419,435,85826548,865402,99175303,2022-08-07
Australia,9635911,20448,12321,32,9331107,30421,292483,159,368904,472,76847478,2942049,26120396,2022-08-07
Argentina,9602534,6035,129440,10,9325127,5665,147967,456,208454,2810,35716069,775332,46065529,2022-08-07
Netherlands,8353410,1611,22527,4,8201864,7305,129019,52,485258,1309,21107399,1226150,17214363,2022-08-07
Iran,7440422,5477,142461,63,7106452,5973,191509,1476,86268,1652,53322294,618246,86247699,2022-08-07
Mexico,6854180,14448,328306,85,6018278,18227,507596,4798,52015,2491,17831555,135320,131773707,2022-08-07
Colombia,6278998,,141075,,6096946,,40977,342,120703,2712,36086570,693702,52020311,2022-08-07
Indonesia,6244978,4279,157095,13,6037738,5016,50145,2771,22336,562,104496255,373749,279589524,2022-08-07
Poland,6094269,698,116660,,5335869,7,641740,2389,161396,3090,36725122,972601,37759717,2022-08-07
Portugal,5359624,,24664,,5223857,6548,111103,61,528855,2434,43527258,4295005,10134391,2022-08-07
Ukraine,5026496,,108727,,4911861,203,5908,177,116399,2518,19521252,452057,43183141,2022-08-07
Austria,4787491,4751,19199,5,4682297,4131,85995,70,525281,2107,193935607,21278500,9114158,2022-08-07
Taiwan,4738856,22039,9229,42,4273571,17933,456056,,198219,386,23084808,965603,23907154,2022-08-07
Malaysia,4708552,2728,36026,6,4626756,3856,45770,52,141671,1084,62773742,1888743,33235721,2022-08-07
Thailand,4605609,2250,31599,35,4552487,1939,21523,1496,65638,450,17270775,246137,70167206,2022-08-07
Israel,4598476,,11433,,4550603,,36440,310,493081,1226,41373364,4436346,9326000,2022-08-07
Greece,4474616,,31377,,4335930,17884,107309,115,433740,3041,89320544,8658153,10316351,2022-08-07
Belgium,4437299,,32296,,4262584,9862,142419,108,379406,2761,35084826,2999886,11695386,2022-08-07
Chile,4306955,9811,59800,27,4200857,7646,46298,164,221320,3073,42478370,2182819,19460325,2022-08-07
Canada,4084728,,42901,,3927670,,114157,279,106273,1116,63719391,1657799,38436137,2022-08-07
South Africa,4006643,287,101982,,3897607,,7054,192,65815,1675,26024796,427498,60876983,2022-08-07
Czechia,3999372,517,40564,5,3940131,2809,18677,31,372013,3773,55801087,5190492,10750635,2022-08-07
Peru,3966898,5385,214637,49,3630547,5928,121714,248,116896,6325,33375498,983508,33935162,2022-08-07
Switzerland,3953866,,14066,,3797330,9771,142470,67,449950,1601,21877329,2489639,8787350,2022-08-07
Philippines,3803953,4619,60807,18,3705343,4142,37803,822,33771,540,31663475,281103,112640011,2022-08-07
Romania,3115992,3518,66179,8,2936491,6456,113322,264,164270,3489,24220009,1276837,18968761,2022-08-07
Denmark,3068155,,6701,,3044642,,16812,17,525822,1148,128010764,21938543,5834971,2022-08-07
Sweden,2545671,,19402,,2504743,758,21526,16,248812,1896,18775827,1835132,10231320,2022-08-07
Iraq,2451178,541,25326,1,2409652,2468,16200,21,58201,601,19110211,453756,42115577,2022-08-07
Serbia,2164435,4182,16356,9,2051493,3933,96586,31,249831,1888,10335327,1192959,8663607,2022-08-07
Bangladesh,2007335,216,29304,,1948027,720,30004,1228,11939,174,14638943,87069,168130399,2022-08-07
Hungary,1987321,,46886,,1898374,,42061,19,206820,4879,11394556,1185829,9608934,2022-08-07
Slovakia,1823259,418,20259,6,1791797,662,11203,39,333613,3707,7238430,1324462,5465186,2022-08-07
Singapore,1759575,4798,1539,3,1669745,7018,88291,24,295884,259,24265502,4080409,5946831,2022-08-07
Jordan,1715296,,14083,,1696674,,4539,56,164686,1352,17018240,1633924,10415562,2022-08-07
Georgia,1698020,,16869,,1637293,,43858,,427377,4246,16920079,4258642,3973116,2022-08-07
New Zealand,1656229,3518,2380,18,1614972,4692,38877,,331107,476,7408803,1481139,5002100,2022-08-07
Ireland,1647605,,7662,,1611271,1783,28672,31,326035,1516,12561102,2485642,5053464,2022-08-07
Pakistan,1559301,644,30505,,1519058,405,9738,170,6783,133,29693968,129167,229888284,2022-08-07
Norway,1456960,38,3623,,1450643,281,2694,20,264414,658,11002430,1996761,5510139,2022-08-07
Hong Kong,1385242,4274,9540,4,1240806,2222,134896,7,181682,1251,54352132,7128584,7624534,2022-08-07
Kazakhstan,1366832,1988,13668,,1325663,2644,27501,24,71013,710,11575012,601370,19247747,2022-08-07
Morocco,1262622,121,16257,1,1243835,,2530,293,33378,430,12290176,324895,37828108,2022-08-07
Finland,1218216,,5251,,1164017,3080,48948,21,219152,945,11237850,2021645,5558766,2022-08-07
Bulgaria,1217565,411,37435,4,1152979,282,27151,47,178037,5474,10305260,1506873,6838840,2022-08-07
Croatia,1193298,743,16401,12,1169625,1464,7272,28,294481,4047,5069266,1250987,4052213,2022-08-07
Lebanon,1186920,1515,10548,2,1087587,,88785,186,175544,1560,4795578,709260,6761384,2022-08-07
Tunisia,1134660,,29105,,,,,29,93945,2410,4863059,402639,12077976,2022-08-07
